county,income_source,inc_lab,Percent,se,margin,lower,upper,ci,county_rank
Budi,honey,Honey production/sales,0.272388056012706,0.07108431238500752,0.13932525227461473,0.13306280373809126,0.4117133082873207,13.3% - 41.2%,5
Budi,cattle_production,Cattle production/sales,0.26970647840581186,0.05256353158408587,0.10302452190480829,0.16668195650100356,0.3727310003106201,16.7% - 37.3%,6
Budi,sheep_production,Sheep production/sales,0.24040981677074275,0.0419008596380384,0.08212568489055526,0.15828413188018747,0.322535501661298,15.8% - 32.3%,7
Budi,gifts,Gifts/inheritance,0.18148444267807853,0.03639118285733102,0.07132671840036879,0.11015772427770974,0.2528111610784473,11% - 25.3%,8
Budi,safety_net,Food / cash safety net,0.12324621336512168,0.025914218868275777,0.050791868981820525,0.07245434438330114,0.1740380823469422,7.2% - 17.4%,9
Budi,Agwage_within,Ag wage labor in village,0.11110835689947735,0.039103784707196235,0.07664341802610462,0.03446493887337272,0.18775177492558198,3.4% - 18.8%,10
Budi,petty_trade_other,Petty trade other products,0.11082049559695448,0.03196644448871698,0.06265423119788528,0.048166264399069195,0.17347472679483977,4.8% - 17.3%,11
Budi,ownbiz_ag,Other self-employment ag,0.09983706997139187,0.03235535139429,0.0634164887328084,0.036420581238583466,0.16325355870420027,3.6% - 16.3%,12
Budi,ownbiz_nonag,Other self-employment non-ag,0.08591216257927026,0.0227646380335857,0.04461869054582797,0.04129347203344229,0.1305308531250982,4.1% - 13.1%,13
Budi,nonAgwage_within,Wage labor in village,0.07010869527239627,0.014030477585152079,0.027499736066898074,0.0426089592054982,0.09760843133929434,4.3% - 9.8%,14
Budi,salary,Salaried work,0.0697292270304916,0.01786541570088289,0.03501621477373046,0.03471301225676114,0.10474544180422206,3.5% - 10.5%,15
Budi,Agwage_without,Ag wage labor outside village,0.054890674725967474,0.014058871246866429,0.0275553876438582,0.027335287082109274,0.08244606236982567,2.7% - 8.2%,16
Budi,nonAgwage_without,Wage labor outside village,0.04166871875907251,0.010912587183790564,0.021388670880229506,0.020280047878843,0.06305738963930202,2% - 6.3%,17
Budi,remit,Remittances,0.03606587000045018,0.010625093684842,0.020825183622290317,0.015240686378159864,0.056891053622740495,1.5% - 5.7%,18
Budi,fishing,Fishing and sales,0.00595244074559477,0.0038896013865619807,0.007623618717661482,-0.001671177972066712,0.01357605946325625,-0.2% - 1.4%,19
Budi,rent,Rental of land/property,0.005858547477810979,0.0028613752285104083,0.0056082954478804,2.5025202993057827e-4,0.011466842925691379,0% - 1.1%,20
Duk,crop_production,Farm/crop production,0.8135062338823799,0.05807266326921039,0.11382242000765236,0.6996838138747274,0.9273286538900323,70% - 92.7%,1
Duk,cattle_production,Cattle production/sales,0.5767798767170104,0.06627536050141472,0.12989970658277286,0.44688017013423753,0.7066795832997832,44.7% - 70.7%,2
Duk,fishing,Fishing and sales,0.5637532265288574,0.07080242045682197,0.13877274409537108,0.4249804824334863,0.7025259706242285,42.5% - 70.3%,3
Duk,goat_production,Goat production/sales,0.4988810662141439,0.07762842410670545,0.15215171124914267,0.34672935496500124,0.6510327774632866,34.7% - 65.1%,4
Duk,safety_net,Food / cash safety net,0.4312833079263665,0.09502682258811394,0.18625257227270334,0.24503073565366315,0.6175358801990698,24.5% - 61.8%,5
Duk,sheep_production,Sheep production/sales,0.321828781960594,0.08857396394705025,0.1736049693362185,0.1482238126243755,0.4954337512968125,14.8% - 49.5%,6
Duk,bush_products,Wild bush sales,0.3113428046481605,0.058720714390449305,0.11509260020528063,0.19625020444287988,0.4264354048534411,19.6% - 42.6%,7
Duk,petty_trade_other,Petty trade other products,0.2817123554555668,0.0854204184764538,0.16742402021384944,0.11428833524171733,0.4491363756694162,11.4% - 44.9%,8
Duk,petty_trade_own,Petty trade own products,0.21327154483407884,0.0776300439430968,0.15215488612846972,0.06111665870560912,0.36542643096254857,6.1% - 36.5%,9
Duk,salary,Salaried work,0.12191292931375235,0.037702973845005,0.0738978287362098,0.04801510057754255,0.19581075804996215,4.8% - 19.6%,10
Duk,Agwage_within,Ag wage labor in village,0.08636710103767349,0.02672323119552844,0.05237753314323574,0.03398956789443775,0.13874463418090924,3.4% - 13.9%,11
Duk,gifts,Gifts/inheritance,0.06483925053715361,0.0204617828174653,0.04010509432223199,0.024734156214921622,0.10494434485938561,2.5% - 10.5%,12
Duk,honey,Honey production/sales,0.05200941120129567,0.017949256144809564,0.03518054204382674,0.01682886915746893,0.08718995324512241,1.7% - 8.7%,13
Duk,remit,Remittances,0.040254692419960166,0.013499905234134439,0.0264598142589035,0.013794878161056665,0.06671450667886367,1.4% - 6.7%,14
Duk,nonAgwage_within,Wage labor in village,0.03687607934848939,0.013691913624376592,0.02683615070377812,0.01003992864471127,0.0637122300522675,1% - 6.4%,15
Duk,Agwage_without,Ag wage labor outside village,0.03567798145733099,0.01328384916946583,0.026036344372153027,0.009641637085177963,0.06171432582948402,1% - 6.2%,16
Duk,ownbiz_nonag,Other self-employment non-ag,0.0212838931812062,0.007836699605583348,0.015359931226943362,0.005923961954262839,0.03664382440814956,0.6% - 3.7%,17
Duk,ownbiz_ag,Other self-employment ag,0.02105333297802072,0.008251795212657346,0.016173518616808397,0.004879814361212324,0.03722685159482912,0.5% - 3.7%,18
Duk,nonAgwage_without,Wage labor outside village,0.01907506932987269,0.008316270178904425,0.01629988955065267,0.002775179779220021,0.03537495888052536,0.3% - 3.5%,19
Duk,rent,Rental of land/property,0.0038434321294885322,0.0021443733226720703,0.004202971712437257,-3.595395829487252e-4,0.00804640384192579,0% - 0.8%,20
Jur River,crop_production,Farm/crop production,0.6188066358352594,0.041014785113016136,0.08038897882151162,0.5384176570137478,0.699195614656771,53.8% - 69.9%,1
Jur River,goat_production,Goat production/sales,0.5316257619354334,0.02750443507763567,0.053908692752165914,0.4777170691832675,0.5855344546875993,47.8% - 58.6%,2
Jur River,Agwage_within,Ag wage labor in village,0.45063813658155405,0.027809457338817414,0.05450653638408213,0.3961316001974719,0.5051446729656361,39.6% - 50.5%,3
Jur River,sheep_production,Sheep production/sales,0.33681322743228914,0.026065754488904552,0.05108887879825292,0.28572434863403623,0.38790210623054205,28.6% - 38.8%,4
Jur River,Agwage_without,Ag wage labor outside village,0.296373021206437,0.02296122883535374,0.04500400851729333,0.2513690126891437,0.3413770297237303,25.1% - 34.1%,5
Jur River,honey,Honey production/sales,0.27477201229307496,0.03996993066649704,0.0783410641063342,0.19643094818674078,0.35311307639940914,19.6% - 35.3%,6
Jur River,nonAgwage_within,Wage labor in village,0.2617358313531193,0.025714519661317575,0.05040045853618245,0.21133537281693685,0.31213628988930175,21.1% - 31.2%,7
Jur River,fishing,Fishing and sales,0.25961238035143686,0.04230983726940283,0.08292728104802954,0.1766850993034073,0.3425396613994664,17.7% - 34.3%,8
Jur River,cattle_production,Cattle production/sales,0.2381099127593362,0.029586704477396,0.05798994077569616,0.18011997198364005,0.2960998535350324,18% - 29.6%,9
Jur River,petty_trade_other,Petty trade other products,0.2337898607547772,0.027335178379904807,0.05357694962461342,0.18021291113016377,0.2873668103793906,18% - 28.7%,10
Jur River,salary,Salaried work,0.18186244784276753,0.027877540174730504,0.054639978742471784,0.12722246910029575,0.23650242658523932,12.7% - 23.7%,11
Jur River,nonAgwage_without,Wage labor outside village,0.1564565927575327,0.017150267964674025,0.03361452521076109,0.12284206754677163,0.1900711179682938,12.3% - 19%,12
Jur River,ownbiz_ag,Other self-employment ag,0.13987918543948819,0.02247757652698995,0.044056049992900304,0.09582313544658788,0.1839352354323885,9.6% - 18.4%,13
Jur River,petty_trade_own,Petty trade own products,0.12773000538389062,0.019393350166392057,0.03801096632612843,0.08971903905776218,0.16574097171001906,9% - 16.6%,14
Jur River,bush_products,Wild bush sales,0.11222496261733575,0.014262837642929979,0.02795516178014276,0.08426980083719299,0.1401801243974785,8.4% - 14%,15
Jur River,ownbiz_nonag,Other self-employment non-ag,0.08411073422139423,0.013610204532646735,0.0266760008839876,0.05743473333740663,0.11078673510538183,5.7% - 11.1%,16
Jur River,remit,Remittances,0.06496445528501286,0.016118660205980673,0.03159257400372212,0.03337188128129075,0.09655702928873498,3.3% - 9.7%,17
Jur River,gifts,Gifts/inheritance,0.055166996196718325,0.011766545128256997,0.023062428451383715,0.032104567745334614,0.07822942464810204,3.2% - 7.8%,18
Jur River,safety_net,Food / cash safety net,0.04212841445930967,0.008395690347147274,0.016455553080408657,0.025672861378901013,0.058583967539718326,2.6% - 5.9%,19
Jur River,rent,Rental of land/property,0.023556240045044353,0.007623470373068916,0.014942001931215075,0.008614238113829277,0.03849824197625943,0.9% - 3.8%,20
Kapoeta North,goat_production,Goat production/sales,0.8707142891681362,0.016236950261592532,0.03182442251272136,0.8388898666554149,0.9025387116808575,83.9% - 90.3%,1
Kapoeta North,crop_production,Farm/crop production,0.8288187526953018,0.024229733552691004,0.047490277763274365,0.7813284749320274,0.8763090304585762,78.1% - 87.6%,2
Kapoeta North,cattle_production,Cattle production/sales,0.8258214976830243,0.018111809610320023,0.03549914683622724,0.790322350846797,0.8613206445192515,79% - 86.1%,3
Kapoeta North,sheep_production,Sheep production/sales,0.8237705427271443,0.02112353599688356,0.041402130553891775,0.7823684121732526,0.8651726732810361,78.2% - 86.5%,4
Kapoeta North,bush_products,Wild bush sales,0.5718307105315737,0.034871461890346456,0.06834806530507906,0.5034826452264947,0.6401787758366528,50.3% - 64%,5
Kapoeta North,safety_net,Food / cash safety net,0.44674835759699427,0.0354248442294322,0.06943269468968712,0.37731566290730717,0.5161810522866814,37.7% - 51.6%,6
Kapoeta North,Agwage_within,Ag wage labor in village,0.42759386662208126,0.018672987782753375,0.03659905605419661,0.39099481056788465,0.4641929226762779,39.1% - 46.4%,7
Kapoeta North,petty_trade_other,Petty trade other products,0.3700316858774608,0.051119265097214116,0.10019375959053967,0.26983792628692116,0.4702254454680005,27% - 47%,8
Kapoeta North,ownbiz_ag,Other self-employment ag,0.33407776880784523,0.0341110290431328,0.06685761692454029,0.26722015188330495,0.4009353857323855,26.7% - 40.1%,9
Kapoeta North,ownbiz_nonag,Other self-employment non-ag,0.32747361132130753,0.035099713862499236,0.0687954391704985,0.258678172150809,0.39626905049180605,25.9% - 39.6%,10
Kapoeta North,nonAgwage_within,Wage labor in village,0.3133226487922008,0.024396379041498106,0.047816902921336286,0.2655057458708645,0.36113955171353707,26.6% - 36.1%,11
Kapoeta North,gifts,Gifts/inheritance,0.24622983432850032,0.018988966453527965,0.03721837424891481,0.20901146007958551,0.28344820857741515,20.9% - 28.3%,12
Kapoeta North,honey,Honey production/sales,0.20489133036849008,0.024784165028454586,0.04857696345577099,0.1563143669127191,0.25346829382426106,15.6% - 25.3%,13
Kapoeta North,fishing,Fishing and sales,0.16297455083139217,0.021750253570841788,0.0426304969988499,0.12034405383254226,0.20560504783024208,12% - 20.6%,14
Kapoeta North,Agwage_without,Ag wage labor outside village,0.12019504920189714,0.014482094352826333,0.028384904931539612,0.09181014427035752,0.14857995413343675,9.2% - 14.9%,15
Kapoeta North,rent,Rental of land/property,0.10863437999773858,0.019331256434376182,0.03788926261137732,0.07074511738636126,0.14652364260911588,7.1% - 14.7%,16
Kapoeta North,nonAgwage_without,Wage labor outside village,0.09961389630113013,0.023084081042223835,0.04524479884275871,0.054369097458371415,0.14485869514388883,5.4% - 14.5%,17
Kapoeta North,petty_trade_own,Petty trade own products,0.09685947420074978,0.020693253337488143,0.04055877654147676,0.05630069765927302,0.13741825074222652,5.6% - 13.7%,18
Kapoeta North,remit,Remittances,0.06822221833527363,0.014437244683965384,0.028296999580572153,0.03992521875470148,0.09651921791584578,4% - 9.7%,19
Kapoeta North,salary,Salaried work,0.06158223523790919,0.014266553435046216,0.02796244473269058,0.033619790505218614,0.08954467997059977,3.4% - 9%,20
Leer,nonAgwage_within,Wage labor in village,0.5324844706288396,0.03281658843721582,0.06432051333694301,0.46816395729189664,0.5968049839657826,46.8% - 59.7%,1
Leer,safety_net,Food / cash safety net,0.5148706136727557,0.06144261154441518,0.12042751862705375,0.3944430950457019,0.6352981322998095,39.4% - 63.5%,2
Leer,fishing,Fishing and sales,0.39081006556964915,0.04104654278846238,0.08045122386538625,0.31035884170426287,0.4712612894350354,31% - 47.1%,3
Leer,gifts,Gifts/inheritance,0.29978630920675947,0.02347740170979608,0.04601570735120032,0.25377060185555916,0.3458020165579598,25.4% - 34.6%,4
Leer,bush_products,Wild bush sales,0.2652586268620019,0.02263216385950944,0.0443590411646385,0.2208995856973634,0.3096176680266404,22.1% - 31%,5
Leer,goat_production,Goat production/sales,0.2526234043878903,0.024537250108850453,0.04809301021334689,0.20453039417454344,0.3007164146012372,20.5% - 30.1%,6
Leer,petty_trade_own,Petty trade own products,0.1819368426511876,0.020210071858588287,0.03961174084283304,0.14232510180835456,0.22154858349402062,14.2% - 22.2%,7
Leer,remit,Remittances,0.13075051674724364,0.012840334593053532,0.025167055802384923,0.10558346094485871,0.15591757254962857,10.6% - 15.6%,8
Leer,crop_production,Farm/crop production,0.12614032896222044,0.02011713660228824,0.03942958774048495,0.08671074122173549,0.16556991670270538,8.7% - 16.6%,9
Leer,nonAgwage_without,Wage labor outside village,0.12445705489557683,0.022390585086484133,0.0438855467695089,0.08057150812606793,0.16834260166508574,8.1% - 16.8%,10
Leer,ownbiz_nonag,Other self-employment non-ag,0.11371685526836989,0.015209130564459813,0.029809895906341234,0.08390695936202866,0.14352675117471111,8.4% - 14.4%,11
Leer,sheep_production,Sheep production/sales,0.1002540137117606,0.01670329548721131,0.03273845915493417,0.06751555455682642,0.13299247286669477,6.8% - 13.3%,12
Leer,Agwage_within,Ag wage labor in village,0.0915979453357264,0.018740577504714726,0.03673153190924086,0.054866413426485544,0.12832947724496727,5.5% - 12.8%,13
Leer,Agwage_without,Ag wage labor outside village,0.08733545900275293,0.017421512862357456,0.03414616521022061,0.053189293792532316,0.12148162421297354,5.3% - 12.1%,14
Leer,petty_trade_other,Petty trade other products,0.05242676053493579,0.01104067061038026,0.021639714396345308,0.030787046138590485,0.0740664749312811,3.1% - 7.4%,15
Leer,cattle_production,Cattle production/sales,0.04607817536321792,0.011532373036589709,0.022603451151715827,0.023474724211502093,0.06868162651493374,2.3% - 6.9%,16
Leer,salary,Salaried work,0.04470080908456942,0.009364526477468566,0.01835447189583839,0.02634633718873103,0.06305528098040782,2.6% - 6.3%,17
Leer,ownbiz_ag,Other self-employment ag,0.03080203448361358,0.008784686171631886,0.017217984896398496,0.013584049587215083,0.048020019380012074,1.4% - 4.8%,18
Leer,honey,Honey production/sales,0.009666151766447953,0.004135455063653927,0.008105491924761697,0.0015606598416862561,0.01777164369120965,0.2% - 1.8%,19
Leer,rent,Rental of land/property,0.0039714977801389734,0.0021637594315519655,0.004240968485841852,-2.694707057028789e-4,0.008212466265980826,0% - 0.8%,20
Mayendit,fishing,Fishing and sales,0.5930910715455238,0.0300473623836732,0.058892830271999465,0.5341982412735243,0.6519839018175232,53.4% - 65.2%,1
Mayendit,goat_production,Goat production/sales,0.3285501775517245,0.04151425616448227,0.08136794208238524,0.24718223546933926,0.40991811963410973,24.7% - 41%,2
Mayendit,cattle_production,Cattle production/sales,0.31963818527513327,0.04603536935958823,0.09022932394479292,0.22940886133034033,0.4098675092199262,22.9% - 41%,3
Mayendit,sheep_production,Sheep production/sales,0.22194594947487775,0.040697677755081055,0.07976744839995886,0.1421785010749189,0.30171339787483664,14.2% - 30.2%,4
Mayendit,crop_production,Farm/crop production,0.20426850228002438,0.033198718960282515,0.06506948916215373,0.13919901311787064,0.2693379914421781,13.9% - 26.9%,5
Mayendit,gifts,Gifts/inheritance,0.18033905631899194,0.024676800575819467,0.04836652912860615,0.1319725271903858,0.2287055854475981,13.2% - 22.9%,6
Mayendit,nonAgwage_within,Wage labor in village,0.1397808903501289,0.030890136402453267,0.0605446673488084,0.0792362230013205,0.20032555769893728,7.9% - 20%,7
Mayendit,salary,Salaried work,0.10689140964942465,0.022963045580534747,0.0450075693378481,0.061883840311576545,0.15189897898727275,6.2% - 15.2%,8
Mayendit,safety_net,Food / cash safety net,0.10373471527913308,0.017698981300146344,0.034690003348286834,0.06904471193084624,0.13842471862741992,6.9% - 13.8%,9
Mayendit,petty_trade_own,Petty trade own products,0.09966078285769746,0.01984820945490754,0.03890249053161878,0.060758292326078676,0.13856327338931623,6.1% - 13.9%,10
Mayendit,ownbiz_nonag,Other self-employment non-ag,0.08247297639006203,0.02113715624171582,0.04142882623376301,0.04104415015629902,0.12390180262382504,4.1% - 12.4%,11
Mayendit,bush_products,Wild bush sales,0.06898873435176547,0.013651512418975593,0.026756964341192162,0.04223177001057331,0.09574569869295764,4.2% - 9.6%,12
Mayendit,remit,Remittances,0.05793291521776975,0.011724043531178509,0.022979125321109878,0.03495378989665987,0.08091204053887963,3.5% - 8.1%,13
Mayendit,nonAgwage_without,Wage labor outside village,0.03732201613261929,0.008910552472517838,0.017464682846134963,0.019857333286484327,0.05478669897875425,2% - 5.5%,14
Mayendit,Agwage_without,Ag wage labor outside village,0.03695734829730765,0.008412400090491686,0.016488304177363702,0.02046904411994395,0.053445652474671354,2% - 5.3%,15
Mayendit,Agwage_within,Ag wage labor in village,0.03168759918183932,0.008237669938982062,0.01614583308040484,0.015541766101434477,0.04783343226224416,1.6% - 4.8%,16
Mayendit,petty_trade_other,Petty trade other products,0.017606454323448154,0.0065142270745538015,0.01276788506612545,0.004838569257322704,0.030374339389573603,0.5% - 3%,17
Mayendit,ownbiz_ag,Other self-employment ag,0.014859128618927823,0.006584939074150725,0.01290648058533542,0.0019526480335924027,0.027765609204263242,0.2% - 2.8%,18
Mayendit,honey,Honey production/sales,0.0049045060458577415,0.0029863491158153167,0.0058532442669980205,-9.48738221140279e-4,0.010757750312855762,-0.1% - 1.1%,19
Mayendit,rent,Rental of land/property,7.277187454642393e-4,7.457343102217437e-4,0.0014616392480346176,-7.339205025703783e-4,0.002189357993498857,-0.1% - 0.2%,20
Panyijar,fishing,Fishing and sales,0.5627504954760217,0.05247767032917384,0.10285623384518072,0.459894261630841,0.6656067293212025,46% - 66.6%,1
Panyijar,cattle_production,Cattle production/sales,0.4423408776817727,0.0719054927120055,0.14093476571553076,0.30140611196624195,0.5832756433973034,30.1% - 58.3%,2
Panyijar,crop_production,Farm/crop production,0.36287421935355674,0.06778068382235215,0.13285014029181022,0.23002407906174652,0.495724359645367,23% - 49.6%,3
Panyijar,bush_products,Wild bush sales,0.3056427036078211,0.061852286864887564,0.12123048225517963,0.18441222135264146,0.4268731858630007,18.4% - 42.7%,4
Panyijar,goat_production,Goat production/sales,0.24979561492570215,0.05679977183877111,0.11132755280399137,0.13846806212171078,0.36112316772969355,13.8% - 36.1%,5
Panyijar,safety_net,Food / cash safety net,0.24522617595406418,0.06553761512307302,0.12845372564122312,0.11677245031284106,0.3736799015952873,11.7% - 37.4%,6
Panyijar,nonAgwage_within,Wage labor in village,0.23790381174753503,0.059789556348551584,0.1171875304431611,0.12071628130437392,0.35509134219069616,12.1% - 35.5%,7
Panyijar,petty_trade_own,Petty trade own products,0.17115733594235816,0.05036117637708194,0.09870790569908061,0.07244943024327755,0.26986524164143877,7.2% - 27%,8
Panyijar,sheep_production,Sheep production/sales,0.17071062298738066,0.06166555328877929,0.1208644844460074,0.04984613854137325,0.29157510743338805,5% - 29.2%,9
Panyijar,gifts,Gifts/inheritance,0.12103493242604704,0.038717277744291935,0.07588586437881219,0.045149068047234855,0.19692079680485924,4.5% - 19.7%,10
Panyijar,ownbiz_nonag,Other self-employment non-ag,0.07042944468092227,0.02113993716539463,0.04143427684417347,0.028995167836748797,0.11186372152509574,2.9% - 11.2%,11
Panyijar,ownbiz_ag,Other self-employment ag,0.05078349668114718,0.017681288028984953,0.03465532453681051,0.01612817214433667,0.08543882121795768,1.6% - 8.5%,12
Panyijar,salary,Salaried work,0.040454456530650225,0.010864115648721886,0.021293666671494897,0.019160789859155328,0.06174812320214512,1.9% - 6.2%,13
Panyijar,Agwage_within,Ag wage labor in village,0.030258898593937957,0.012120416984780325,0.023756017290169438,0.006502881303768519,0.054014915884107395,0.7% - 5.4%,14
Panyijar,remit,Remittances,0.028234908315513754,0.0096323217332126565,0.018879350597096806,0.009355557718416948,0.04711425891261056,0.9% - 4.7%,15
Panyijar,petty_trade_other,Petty trade other products,0.02730426156847223,0.01113782080999468,0.021830128787589574,0.005474132780882657,0.049134390356061805,0.5% - 4.9%,16
Panyijar,nonAgwage_without,Wage labor outside village,0.02314614177404958,0.011899706681543238,0.023323425095824746,-1.7728332177516584e-4,0.04646956686987433,0% - 4.6%,17
Panyijar,Agwage_without,Ag wage labor outside village,0.00979131473234105,0.00458813369145002,0.008992742035242038,7.985726970990113e-4,0.018784056767583088,0.1% - 1.9%,18
Panyijar,honey,Honey production/sales,0.005077262793263969,0.0028043846464479313,0.005496593907037945,-4.193311137739757e-4,0.010573856700301913,0% - 1.1%,19
Panyijar,rent,Rental of land/property,0.0028222959613046195,0.0016365228869298148,0.003207584858382437,-3.8528889707781754e-4,0.0060298808196870566,0% - 0.6%,20
