Region,State,County,Indicator,Percent,Confidence interval
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,HIV service,0.4961324108294158,18.5% - 80.7%
Equatoria,Eastern Equatoria,Kapoeta North,HIV service,0.633243867327097,44.9% - 81.7%
Great Upper Nile,Unity,Leer,HIV service,0.39108804687479015,26.8% - 51.5%
Great Upper Nile,Unity,Mayendit,HIV service,0.8356319869415886,73.9% - 93.2%
Great Upper Nile,Unity,Paynijar,HIV service,0.6388303978480996,27.7% - 100%
Great Upper Nile,Jonglei,Pibor,HIV service,0.4147094688731784,-0.9% - 83.9%
Great Upper Nile,Upper Nile,Ulang,HIV service,0.6117070039679171,37.7% - 84.6%
Great Upper Nile,Jonglei,Uror,HIV service,0,0% - 0%
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,HIV service,0.561720368543241,33.3% - 79.1%
Great Upper Nile,Jonglei,Akobo,Growth monitoring,0.6630955826331932,29.6% - 103%
Great Upper Nile,Upper Nile,Baliet,Growth monitoring,0.7656929558717265,54.8% - 98.3%
Equatoria,Eastern Equatoria,Budi,Growth monitoring,0.8983772166874875,79.5% - 100.1%
Great Upper Nile,Jonglei,Duk,Growth monitoring,0.844694571600269,68.2% - 100.7%
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,Growth monitoring,0.32566871063897873,2.8% - 62.3%
Equatoria,Eastern Equatoria,Kapoeta North,Growth monitoring,0.766675600372422,65.6% - 87.7%
Great Upper Nile,Unity,Leer,Growth monitoring,0.3621237085971323,22% - 50.5%
Great Upper Nile,Unity,Mayendit,Growth monitoring,0.7050161203910725,56.4% - 84.6%
Great Upper Nile,Unity,Paynijar,Growth monitoring,0.17795585175482329,14.7% - 20.9%
Great Upper Nile,Jonglei,Pibor,Growth monitoring,0.44566356061847884,34.2% - 54.9%
Great Upper Nile,Upper Nile,Ulang,Growth monitoring,0.49380819675017557,24.4% - 74.3%
Great Upper Nile,Jonglei,Uror,Growth monitoring,0.24050670273194744,-16.7% - 64.8%
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,Growth monitoring,0.6351629281252597,44.6% - 82.4%
Great Upper Nile,Jonglei,Akobo,Malnutrition,0.2547350760272373,-15.6% - 66.6%
Great Upper Nile,Upper Nile,Baliet,Malnutrition,0.5475256498106509,32.5% - 77%
Equatoria,Eastern Equatoria,Budi,Malnutrition,0.2560763686173023,-4.8% - 56%
Great Upper Nile,Jonglei,Duk,Malnutrition,0.7114767465564175,52.7% - 89.6%
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,Malnutrition,0.5004310223686725,19.8% - 80.3%
Equatoria,Eastern Equatoria,Kapoeta North,Malnutrition,0.629645519294859,52.5% - 73.5%
Great Upper Nile,Unity,Leer,Malnutrition,0.7646072176521205,59.3% - 93.6%
Great Upper Nile,Unity,Mayendit,Malnutrition,0.2676468759121465,12.8% - 40.7%
Great Upper Nile,Unity,Paynijar,Malnutrition,0.3178234220318418,18.4% - 45.2%
Great Upper Nile,Jonglei,Pibor,Malnutrition,0.4328256900540651,32.1% - 54.4%
Great Upper Nile,Upper Nile,Ulang,Malnutrition,0.3397881610484062,14.3% - 53.6%
Great Upper Nile,Jonglei,Uror,Malnutrition,0.09370111973838365,3.4% - 15.4%
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,Malnutrition,0.605576831152501,38.5% - 82.7%
