county,Value,Value_se,var_name,label,margin,lower,upper,ci,ci2,cnty_rnk
Mayendit,0.12155183124430184,0.030848460964566983,705,Malnutrition,0.060462983490551285,0.06108884775375056,0.18201481473485312,6.1% - 18.2%,0.1 - 0.2,6
Mayendit,0.12027919922301615,0.02136184106593039,705,Postnatal care,0.04186920848922356,0.0784099907337926,0.1621484077122397,7.8% - 16.2%,0.1 - 0.2,7
Mayendit,0.09725015901014476,0.02563600646189597,705,Growth monitoring,0.0502465726653161,0.047003586344828666,0.14749673167546085,4.7% - 14.7%,0 - 0.1,8
Mayendit,0.0681599838236544,0.01984313650002307,705,Family planning,0.038892547540045216,0.029267436283609186,0.10705253136369962,2.9% - 10.7%,0 - 0.1,9
Paynijar,0.93568682476743,0.022131181984495957,705,Illness,0.043377116689612076,0.892309708077818,0.9790639414570421,89.2% - 97.9%,0.9 - 1,1
Paynijar,0.43542575948161916,0.07516461172053705,705,Check-up,0.14732263897225262,0.28810312050936654,0.5827483984538717,28.8% - 58.3%,0.3 - 0.6,2
Paynijar,0.3352402150252545,0.05601411729654672,705,Immunization,0.10978766990123157,0.2254525451240229,0.44502788492648604,22.5% - 44.5%,0.2 - 0.4,3
Paynijar,0.23882081820515552,0.048009249622493234,705,Prenatal care,0.09409812926008673,0.1447226889450688,0.33291894746524225,14.5% - 33.3%,0.1 - 0.3,4
Paynijar,0.19581138149298422,0.04587043817680905,705,Postnatal care,0.08990605882654575,0.10590532266643847,0.28571744031952995,10.6% - 28.6%,0.1 - 0.3,5
Paynijar,0.12378114949722026,0.04263445598043038,705,Malnutrition,0.08356353372164353,0.040217615775576726,0.2073446832188638,4% - 20.7%,0 - 0.2,6
Paynijar,0.09589779876340923,0.0469145748660635,705,HIV services,0.09195256673748446,0.003945232025924769,0.18785036550089368,0.4% - 18.8%,0 - 0.2,7
Paynijar,0.05972934487080919,0.028645147489591523,705,Family planning,0.05614448907959938,0.003584855791209811,0.11587383395040857,0.4% - 11.6%,0 - 0.1,8
Paynijar,0.03165640986125884,0.025638214377002495,705,Growth monitoring,0.05025090017892489,-0.01859449031766605,0.08190731004018373,-1.9% - 8.2%,0 - 0.1,9
Pibor,0.9667725941544484,0.009278615556491019,705,Illness,0.018186086490722397,0.948586507663726,0.9849586806451708,94.9% - 98.5%,0.9 - 1,1
Pibor,0.5476711978916684,0.03379728651270481,705,Malnutrition,0.06624268156490143,0.481428516326767,0.6139138794565698,48.1% - 61.4%,0.5 - 0.6,2
Pibor,0.38912271314821195,0.041804131535803875,705,Growth monitoring,0.08193609781017559,0.3071866153380364,0.47105881095838753,30.7% - 47.1%,0.3 - 0.5,3
Pibor,0.3876126240644606,0.027766875453531795,705,Immunization,0.05442307588892232,0.3331895481755383,0.44203569995338293,33.3% - 44.2%,0.3 - 0.4,4
Pibor,0.27613289989605116,0.034186382884077327,705,Family planning,0.06700531045279155,0.2091275894432596,0.34313821034884273,20.9% - 34.3%,0.2 - 0.3,5
Pibor,0.2464570848561995,0.03382709142526661,705,Postnatal care,0.06630109919352256,0.18015598566267693,0.31275818404972205,18% - 31.3%,0.2 - 0.3,6
Pibor,0.24423522984037357,0.029522437581720913,705,Check-up,0.05786397766017299,0.1863712521802006,0.3020992075005466,18.6% - 30.2%,0.2 - 0.3,7
Pibor,0.20946295600945472,0.030423919066654558,705,Prenatal care,0.05963088137064293,0.1498320746388118,0.2690938373800976,15% - 26.9%,0.1 - 0.3,8
Pibor,0.03427448833418543,0.013537188215340447,705,HIV services,0.026532888902067276,0.007741599432118152,0.06080737723625271,0.8% - 6.1%,0 - 0.1,9
Ulang,0.8522995753763913,0.07780319542894942,705,Illness,0.15249426304074087,0.6998053123356505,1.0047938384171322,70% - 100.5%,0.7 - 1,1
Ulang,0.5158680649843816,0.11464475415615824,705,Check-up,0.22470371814607015,0.2911643468383115,0.7405717831304518,29.1% - 74.1%,0.3 - 0.7,2
Ulang,0.38676276094425716,0.08788430696001932,705,Immunization,0.17225324164163788,0.21450951930261927,0.559016002585895,21.5% - 55.9%,0.2 - 0.6,3
Ulang,0.34119657926447783,0.09653642617991398,705,Growth monitoring,0.1892113953126314,0.15198518395184643,0.5304079745771092,15.2% - 53%,0.2 - 0.5,4
Ulang,0.327441232638365,0.08558635556642485,705,Malnutrition,0.1677492569101927,0.1596919757281723,0.4951904895485577,16% - 49.5%,0.2 - 0.5,5
Ulang,0.2734263900860284,0.0792308864879884,705,Prenatal care,0.15529253751645727,0.11813385256957115,0.4287189276024857,11.8% - 42.9%,0.1 - 0.4,6
Ulang,0.2655230972525247,0.07860455524347268,705,Family planning,0.15406492827720644,0.11145816897531827,0.4195880255297312,11.1% - 42%,0.1 - 0.4,7
Ulang,0.2584343139686817,0.0829041953222358,705,Postnatal care,0.16249222283158216,0.09594209113709956,0.4209265368002639,9.6% - 42.1%,0.1 - 0.4,8
Ulang,0.2434071142718248,0.08925532026940185,705,HIV services,0.17494042772802762,0.06846668654379717,0.4183475419998524,6.8% - 41.8%,0.1 - 0.4,9
Uror,0.8709001711120299,0.032899309756898566,705,Illness,0.06448264712352118,0.8064175239885087,0.935382818235551,80.6% - 93.5%,0.8 - 0.9,1
Uror,0.2662414590604234,0.049725377257769536,705,Check-up,0.09746173942522829,0.1687797196351951,0.3637031984856517,16.9% - 36.4%,0.2 - 0.4,2
Uror,0.21861704140720017,0.03770829047945274,705,Immunization,0.07390824933972737,0.1447087920674728,0.29252529074692757,14.5% - 29.3%,0.1 - 0.3,3
Uror,0.14669505597452245,0.039721258830530126,705,Malnutrition,0.07785366730783905,0.0688413886666834,0.2245487232823615,6.9% - 22.5%,0.1 - 0.2,4
Uror,0.06716555180419219,0.016016670205946697,705,Prenatal care,0.031392673603655524,0.035772878200536665,0.09855822540784771,3.6% - 9.9%,0 - 0.1,5
Uror,0.049381693717542134,0.018017717382220792,705,Postnatal care,0.03531472606915275,0.014066967648389384,0.08469641978669488,1.4% - 8.5%,0 - 0.1,6
Uror,0.009765821598677352,0.004515809304212511,705,Growth monitoring,0.008850986236256521,9.148353624208305e-4,0.01861680783493387,0.1% - 1.9%,0 - 0,7
Uror,0.006381133415992999,0.004989708160610306,705,HIV services,0.0097798279947962,-0.0033986945788032005,0.0161609614107892,-0.3% - 1.6%,0 - 0,8
Uror,0.0017720891376203402,0.001798236772115354,705,Family planning,0.0035245440733460936,-0.0017524549357257535,0.005296633210966434,-0.2% - 0.5%,0 - 0,9
Wau,0.8137751018843421,0.04187788191693641,705,Check-up,0.08208064855719535,0.7316944533271468,0.8958557504415374,73.2% - 89.6%,0.7 - 0.9,1
Wau,0.7689918283353668,0.06567144815562291,705,Illness,0.1287160383850209,0.640275789950346,0.8977078667203877,64% - 89.8%,0.6 - 0.9,2
Wau,0.29301907702433705,0.05173891351099193,705,Immunization,0.10140827048154417,0.1916108065427929,0.3944273475058812,19.2% - 39.4%,0.2 - 0.4,3
Wau,0.18846469222445125,0.043411320679674056,705,Prenatal care,0.08508618853216116,0.1033785036922901,0.2735508807566124,10.3% - 27.4%,0.1 - 0.3,4
Wau,0.1399450668208991,0.03547409558465754,705,Postnatal care,0.06952922734592878,0.07041583947497032,0.2094742941668279,7% - 20.9%,0.1 - 0.2,5
Wau,0.12091849276023331,0.03212061226269623,705,Family planning,0.06295640003488462,0.05796209272534869,0.18387489279511793,5.8% - 18.4%,0.1 - 0.2,6
Wau,0.10918803315972249,0.033700330498822866,705,Growth monitoring,0.06605264777769282,0.04313538538202967,0.1752406809374153,4.3% - 17.5%,0 - 0.2,7
Wau,0.10090909667441053,0.03719225064858663,705,Malnutrition,0.0728968112712298,0.028012285403180737,0.17380590794564033,2.8% - 17.4%,0 - 0.2,8
Wau,0.09533601387401842,0.030129204652002913,705,HIV services,0.05905324111792571,0.036282772756092714,0.15438925499194414,3.6% - 15.4%,0 - 0.2,9
