state,var_name,shock,shock_lab,mn,se,lower,upper,state_rank
Jonglei,death,16,Death in household,0.35517693315858456,0.012254842584100376,0.33115744169374783,0.3791964246234213,15
Jonglei,croptheft,10,Crop theft,0.27034007748600947,0.009216888965429866,0.25227497511376695,0.288405179858252,16
Unity,flood,1,Floods,0.9658351409978309,0.0042313470794983375,0.9575417007220142,0.9741285812736475,1
Unity,foodprice,5,Increase in food prices,0.93058568329718,0.005920249942457861,0.9189819934099627,0.9421893731843974,2
Unity,erosion,3,Erosion,0.838937093275488,0.008562484477316626,0.8221546236999474,0.8557195628510287,3
Unity,lostland,4,Loss of land,0.7906724511930586,0.00947651883231829,0.7720984742817147,0.8092464281044025,4
Unity,nosell,14,Unable to sell,0.6749688667496887,0.01653930162792744,0.6425518355589509,0.7073858979404265,5
Unity,illness,15,Illness in household,0.5790784557907845,0.017433400089783262,0.5449089916148093,0.6132479199667598,6
Unity,theft,6,Theft,0.46529284164859,0.011618726188423002,0.44252013831928094,0.4880655449778991,7
Unity,drought,2,Drought,0.4175704989154013,0.011487457534319385,0.39505508214813534,0.4400859156826673,8
Unity,livestockdisease,12,Livestock disease,0.31724511930585686,0.010840946814072083,0.2959968635502756,0.3384933750614381,9
Unity,death,16,Death in household,0.273972602739726,0.01574863393861042,0.2431052802200496,0.30483992525940246,10
Unity,livestockinputs,11,No livestock inputs,0.25162689804772237,0.010108226135607318,0.23181477482193202,0.2714390212735127,11
Unity,livestocktheft,13,Livestock theft,0.21637744034707157,0.009591726507430115,0.19757765639250854,0.2351772243016346,12
Unity,cropinputs,7,No crop inputs,0.12310195227765727,0.007653222757063047,0.1081016356738137,0.13810226888150084,13
Unity,cropdisease,8,Crop disease,0.11062906724511931,0.0073065678808373405,0.09630819419867813,0.1249499402915605,14
Unity,croppests,9,Crop pests,0.11008676789587853,0.007290859432860627,0.0957966834074717,0.12437685238428535,15
Unity,croptheft,10,Crop theft,0.07049891540130152,0.005962844729654035,0.058811739731179605,0.08218609107142343,16
Upper Nile,flood,1,Floods,0.9137254901960784,0.017617012487488037,0.8791961457206019,0.9482548346715549,1
Upper Nile,foodprice,5,Increase in food prices,0.9019607843137255,0.018658506733371518,0.8653901111163174,0.9385314575111336,2
Upper Nile,nosell,14,Unable to sell,0.8083333333333333,0.036082370233166836,0.7376118876763263,0.8790547789903403,3
Upper Nile,lostland,4,Loss of land,0.8,0.02509823220552634,0.7508074648771684,0.8491925351228317,4
Upper Nile,erosion,3,Erosion,0.7137254901960784,0.028362211110152784,0.658135556420179,0.7693154239719779,5
Upper Nile,drought,2,Drought,0.6235294117647059,0.030400248938906783,0.5639449238444486,0.6831138996849632,6
Upper Nile,illness,15,Illness in household,0.55,0.04560517440787952,0.46061385816055617,0.6393861418394439,7
Upper Nile,croppests,9,Crop pests,0.5294117647058824,0.03131846503821578,0.46802757323097943,0.5907959561807853,8
Upper Nile,cropdisease,8,Crop disease,0.4823529411764706,0.03135324402176751,0.4209005828938063,0.5438052994591349,9
Upper Nile,death,16,Death in household,0.4666666666666667,0.04573295603800236,0.37703007283218204,0.5563032605011513,10
Upper Nile,cropinputs,7,No crop inputs,0.4196078431372549,0.03096461665683188,0.3589171944898644,0.4802984917846454,11
Upper Nile,livestockdisease,12,Livestock disease,0.4,0.030738931174713602,0.33975169489756135,0.4602483051024387,12
Upper Nile,theft,6,Theft,0.38823529411764707,0.03057897034303608,0.3283005122452963,0.4481700759899978,13
Upper Nile,livestockinputs,11,No livestock inputs,0.3803921568627451,0.030461926918286295,0.32068678010290397,0.4400975336225862,14
Upper Nile,livestocktheft,13,Livestock theft,0.30196078431372547,0.028807019393544013,0.24549902630237921,0.35842254232507176,15
Upper Nile,croptheft,10,Crop theft,0.2980392156862745,0.028699628354982465,0.24178794411050888,0.35429048726204015,16
Western Bahr-El-Ghazel,foodprice,5,Increase in food prices,0.61529933481153,0.016208480241332007,0.5835307135385193,0.6470679560845407,1
Western Bahr-El-Ghazel,drought,2,Drought,0.5177383592017738,0.01664692932501623,0.48511037772474197,0.5503663406788056,2
Western Bahr-El-Ghazel,flood,1,Floods,0.5099778270509978,0.01665409806040859,0.477335794852597,0.5426198592493987,3
Western Bahr-El-Ghazel,nosell,14,Unable to sell,0.4010152284263959,0.024722480781078433,0.3525591660954822,0.4494712907573096,4
Western Bahr-El-Ghazel,erosion,3,Erosion,0.37583148558758317,0.016135599787361673,0.3442057100043543,0.40745726117081205,5
Western Bahr-El-Ghazel,illness,15,Illness in household,0.3680203045685279,0.024327146900533614,0.32033909664348204,0.4157015124935738,6
Western Bahr-El-Ghazel,theft,6,Theft,0.35698447893569846,0.01596147417575078,0.3256999895512269,0.38826896832017,7
Western Bahr-El-Ghazel,cropinputs,7,No crop inputs,0.33813747228381374,0.01576043325916061,0.30724702309585894,0.36902792147176855,8
Western Bahr-El-Ghazel,lostland,4,Loss of land,0.29046563192904656,0.015124175199609608,0.2608222485378117,0.3201090153202814,9
Western Bahr-El-Ghazel,cropdisease,8,Crop disease,0.28713968957871394,0.015072539666388118,0.2575975118325932,0.31668186732483466,10
Western Bahr-El-Ghazel,death,16,Death in household,0.2817258883248731,0.022691447995744976,0.23725065025321296,0.32620112639653326,11
Western Bahr-El-Ghazel,croppests,9,Crop pests,0.28159645232815966,0.014984264419870953,0.2522272940652126,0.3109656105911067,12
Western Bahr-El-Ghazel,livestockdisease,12,Livestock disease,0.26496674057649666,0.014702350826575564,0.23615013295640855,0.29378334819658475,13
Western Bahr-El-Ghazel,livestockinputs,11,No livestock inputs,0.23392461197339245,0.01410299390788764,0.20628274391393267,0.2615664800328522,14
Western Bahr-El-Ghazel,croptheft,10,Crop theft,0.17405764966740578,0.012631619340743246,0.14929967575954903,0.19881562357526253,15
Western Bahr-El-Ghazel,livestocktheft,13,Livestock theft,0.14079822616407983,0.011587340755580466,0.11808703828314213,0.16350941404501754,16
