region,state,county,Shock,shock_lab,mn,se,lower,upper,county_rank,,,
Great Upper Nile,Upper Nile,Baliet,cropdisease,Crop disease,2.4,0.139544245,2.17218018,2.719193622,8,,,
Great Upper Nile,Upper Nile,Baliet,aginput,No crop inputs,2.3,0.129171569,1.99921989,2.505572442,9,,,
Great Upper Nile,Upper Nile,Baliet,livestockdisease,Livestock disease,1.7,0.126743787,1.489601346,1.986436992,10,,,
Great Upper Nile,Upper Nile,Baliet,livestockinput,No livestock inputs,1.6,0.121405499,1.357891868,1.833801423,11,,,
Great Upper Nile,Upper Nile,Baliet,nosell,Unable to sell,1.5,0.117938534,1.294399578,1.756718633,12,,,
Great Upper Nile,Upper Nile,Baliet,illness,Illness in household,1.4,0.117348238,1.166163587,1.626168682,13,,,
Great Upper Nile,Upper Nile,Baliet,croptheft,Crop theft,1.2,0.108929346,0.99256877,1.419571805,14,,,
Great Upper Nile,Upper Nile,Baliet,death,Death in household,0.9,0.100505475,0.748696171,1.142677631,15,,,
Great Upper Nile,Upper Nile,Baliet,livestocktheft,Livestock theft,0.9,0.097406204,0.721224415,1.103056736,16,,,
Equatoria,Eastern Equatoria,Budi,foodpriceinc,Increase in food prices,4.1,0.136477697,3.88089081,4.415883383,1,,,
Equatoria,Eastern Equatoria,Budi,pest,Crop pests,2.5,0.12776126,2.218942769,2.719766908,2,,,
Equatoria,Eastern Equatoria,Budi,flood,Floods,2.4,0.125271488,2.138338851,2.629403084,3,,,
Equatoria,Eastern Equatoria,Budi,littlerain,Drought,2.3,0.125117456,2.078963335,2.569423762,4,,,
Equatoria,Eastern Equatoria,Budi,cropdisease,Crop disease,2.3,0.12560318,2.047366155,2.539730619,5,,,
Equatoria,Eastern Equatoria,Budi,aginput,No crop inputs,2.1,0.123725135,1.872014864,2.357017394,6,,,
Equatoria,Eastern Equatoria,Budi,lossland,Loss of land,1.7,0.118153553,1.453902908,1.917064834,7,,,
Equatoria,Eastern Equatoria,Budi,erosion,Erosion,1.6,0.115058747,1.403517113,1.854547403,8,,,
Equatoria,Eastern Equatoria,Budi,livestockdisease,Livestock disease,1.5,0.114903698,1.271562945,1.721985442,9,,,
Equatoria,Eastern Equatoria,Budi,theft,Theft,1.4,0.111428544,1.226761343,1.663561237,10,,,
Equatoria,Eastern Equatoria,Budi,croptheft,Crop theft,1.1,0.09877796,0.899943586,1.287153188,11,,,
Equatoria,Eastern Equatoria,Budi,livestockinput,No livestock inputs,1.0,0.099174867,0.826585002,1.215350482,12,,,
Equatoria,Eastern Equatoria,Budi,livestocktheft,Livestock theft,1.0,0.098062798,0.759409818,1.143815988,13,,,
Equatoria,Eastern Equatoria,Budi,illness,Illness in household,0.8,0.083237909,0.620724667,0.947017269,14,,,
Equatoria,Eastern Equatoria,Budi,nosell,Unable to sell,0.8,0.088713586,0.60031492,0.948072177,15,,,
Equatoria,Eastern Equatoria,Budi,death,Death in household,0.8,0.089172962,0.576833898,0.926391909,16,,,
Great Upper Nile,Jonglei,Duk,foodpriceinc,Increase in food prices,6.9,0.061939211,6.735742004,6.97854371,1,,,
Great Upper Nile,Jonglei,Duk,flood,Floods,6.3,0.087589017,6.117900815,6.461249764,2,,,
Great Upper Nile,Jonglei,Duk,lossland,Loss of land,5.2,0.13279651,4.973309574,5.493871893,3,,,
Great Upper Nile,Jonglei,Duk,erosion,Erosion,5.2,0.131831736,4.915354971,5.432135376,4,,,
Great Upper Nile,Jonglei,Duk,cropdisease,Crop disease,4.9,0.130385164,4.644058978,5.155168821,5,,,
Great Upper Nile,Jonglei,Duk,aginput,No crop inputs,4.9,0.128643272,4.63975108,5.144032704,6,,,
Great Upper Nile,Jonglei,Duk,pest,Crop pests,4.9,0.135019036,4.590575044,5.119849667,7,,,
Great Upper Nile,Jonglei,Duk,littlerain,Drought,4.0,0.144783164,3.764487547,4.332037549,8,,,
Great Upper Nile,Jonglei,Duk,livestockdisease,Livestock disease,4.0,0.151960183,3.742698581,4.3383825,9,,,
Great Upper Nile,Jonglei,Duk,livestockinput,No livestock inputs,3.9,0.146494252,3.575805628,4.150063098,10,,,
Great Upper Nile,Jonglei,Duk,livestocktheft,Livestock theft,3.8,0.155187048,3.512435702,4.120768931,11,,,
Great Upper Nile,Jonglei,Duk,theft,Theft,3.8,0.159016207,3.472112018,4.09545555,12,,,
Great Upper Nile,Jonglei,Duk,nosell,Unable to sell,3.2,0.149485508,2.954112652,3.540095842,13,,,
Great Upper Nile,Jonglei,Duk,croptheft,Crop theft,3.0,0.15239662,2.724468647,3.321863399,14,,,
Great Upper Nile,Jonglei,Duk,illness,Illness in household,2.5,0.145133651,2.184650013,2.753573926,15,,,
Great Upper Nile,Jonglei,Duk,death,Death in household,2.0,0.146528964,1.708942227,2.283335766,16,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,foodpriceinc,Increase in food prices,4.4,0.119872812,4.193854525,4.663755949,1,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,littlerain,Drought,3.7,0.11784665,3.42368505,3.885643918,2,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,flood,Floods,3.5,0.120575854,3.251396368,3.724053714,3,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,erosion,Erosion,2.7,0.120863693,2.470144804,2.943930482,4,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,livestockdisease,Livestock disease,2.6,0.125096363,2.337462519,2.827840263,5,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,aginput,No crop inputs,2.1,0.113569294,1.890333806,2.335525441,6,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,livestockinput,No livestock inputs,2.0,0.112082138,1.742675802,2.182037782,7,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,theft,Theft,1.9,0.110557706,1.721113771,2.154499977,8,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,cropdisease,Crop disease,1.9,0.115583399,1.685076832,2.138163757,9,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,pest,Crop pests,1.9,0.113215415,1.652074873,2.0958793,10,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,lossland,Loss of land,1.7,0.102156473,1.518267586,1.918720958,11,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,illness,Illness in household,1.5,0.109006318,1.275709319,1.703014085,12,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,nosell,Unable to sell,1.4,0.099341779,1.240641995,1.63006177,13,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,death,Death in household,1.1,0.091602659,0.871195286,1.230277709,14,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,livestocktheft,Livestock theft,1.0,0.085165802,0.865808252,1.199658196,15,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,croptheft,Crop theft,0.9,0.081036015,0.710236513,1.027897693,16,,,
Equatoria,Eastern Equatoria,Kapoeta North,littlerain,Drought,5.7,0.108528404,5.507018987,5.932450333,1,,,
Equatoria,Eastern Equatoria,Kapoeta North,foodpriceinc,Increase in food prices,5.4,0.107940224,5.178155238,5.601280914,2,,,
Equatoria,Eastern Equatoria,Kapoeta North,livestockdisease,Livestock disease,5.1,0.119911231,4.876085099,5.346137123,3,,,
Equatoria,Eastern Equatoria,Kapoeta North,cropdisease,Crop disease,4.9,0.131780446,4.633915965,5.150495312,4,,,
Equatoria,Eastern Equatoria,Kapoeta North,pest,Crop pests,4.7,0.132413955,4.463520057,4.982582762,5,,,
Equatoria,Eastern Equatoria,Kapoeta North,nosell,Unable to sell,4.4,0.12453672,4.122408858,4.610592801,6,,,
Equatoria,Eastern Equatoria,Kapoeta North,livestockinput,No livestock inputs,4.0,0.133370087,3.740253004,4.263063746,7,,,
Equatoria,Eastern Equatoria,Kapoeta North,livestocktheft,Livestock theft,4.0,0.137769017,3.688513357,4.228567903,8,,,
Equatoria,Eastern Equatoria,Kapoeta North,aginput,No crop inputs,3.7,0.132948612,3.394478764,3.915637322,9,,,
Equatoria,Eastern Equatoria,Kapoeta North,flood,Floods,3.3,0.13454564,3.06630713,3.593726038,10,,,
Equatoria,Eastern Equatoria,Kapoeta North,erosion,Erosion,3.1,0.137900965,2.857408969,3.39798075,11,,,
Equatoria,Eastern Equatoria,Kapoeta North,lossland,Loss of land,2.7,0.132941292,2.4740951,2.995224966,12,,,
Equatoria,Eastern Equatoria,Kapoeta North,illness,Illness in household,2.4,0.128367969,2.113241235,2.616443674,13,,,
Equatoria,Eastern Equatoria,Kapoeta North,theft,Theft,1.8,0.119102681,1.552628396,2.019510907,14,,,
Equatoria,Eastern Equatoria,Kapoeta North,death,Death in household,1.4,0.114507881,1.205083625,1.653954518,15,,,
Equatoria,Eastern Equatoria,Kapoeta North,croptheft,Crop theft,1.4,0.108172459,1.179358432,1.60339447,16,,,
Great Upper Nile,Unity,Leer,flood,Floods,7.1,0.062836379,6.988131021,7.234449624,1,,,
Great Upper Nile,Unity,Leer,foodpriceinc,Increase in food prices,7.1,0.070745766,6.943596364,7.220919765,2,,,
Great Upper Nile,Unity,Leer,erosion,Erosion,5.8,0.110708704,5.60236578,6.036343898,3,,,
Great Upper Nile,Unity,Leer,lossland,Loss of land,5.2,0.125408543,4.910650869,5.402252357,4,,,
Great Upper Nile,Unity,Leer,littlerain,Drought,4.4,0.134240274,4.103018096,4.629239969,5,,,
Great Upper Nile,Unity,Leer,theft,Theft,4.2,0.145340666,3.942551649,4.51228706,6,,,
Great Upper Nile,Unity,Leer,nosell,Unable to sell,1.8,0.126533518,1.553607208,2.049618598,7,,,
Great Upper Nile,Unity,Leer,livestocktheft,Livestock theft,1.5,0.118736683,1.244695457,1.710143253,8,,,
Great Upper Nile,Unity,Leer,livestockdisease,Livestock disease,1.4,0.113003518,1.138190525,1.581164314,9,,,
Great Upper Nile,Unity,Leer,livestockinput,No livestock inputs,1.3,0.109049555,1.062069324,1.489543579,10,,,
Great Upper Nile,Unity,Leer,illness,Illness in household,1.1,0.104356073,0.919655646,1.328731451,11,,,
Great Upper Nile,Unity,Leer,aginput,No crop inputs,0.7,0.085179697,0.49595102,0.829855431,12,,,
Great Upper Nile,Unity,Leer,pest,Crop pests,0.7,0.085203993,0.487838884,0.821838535,13,,,
Great Upper Nile,Unity,Leer,death,Death in household,0.6,0.08203275,0.440828714,0.762397092,14,,,
Great Upper Nile,Unity,Leer,cropdisease,Crop disease,0.5,0.073848687,0.352030768,0.641517619,15,,,
Great Upper Nile,Unity,Leer,croptheft,Crop theft,0.4,0.071495528,0.287288121,0.567550589,16,,,
Great Upper Nile,Unity,Mayendit,flood,Floods,7.2,0.068945955,7.02328177,7.293549913,1,,,
Great Upper Nile,Unity,Mayendit,foodpriceinc,Increase in food prices,6.7,0.094305114,6.471927652,6.841603701,2,,,
Great Upper Nile,Unity,Mayendit,erosion,Erosion,6.3,0.109785156,6.091751788,6.522109598,3,,,
Great Upper Nile,Unity,Mayendit,lossland,Loss of land,5.9,0.120707555,5.64790164,6.121075257,4,,,
Great Upper Nile,Unity,Mayendit,littlerain,Drought,3.5,0.149747632,3.216395632,3.803406348,5,,,
Great Upper Nile,Unity,Mayendit,theft,Theft,3.4,0.151276127,3.066535094,3.659537513,6,,,
Great Upper Nile,Unity,Mayendit,nosell,Unable to sell,2.6,0.142840752,2.327292852,2.8872286,7,,,
Great Upper Nile,Unity,Mayendit,livestockdisease,Livestock disease,2.6,0.142965115,2.318798276,2.879221526,8,,,
Great Upper Nile,Unity,Mayendit,livestockinput,No livestock inputs,2.2,0.135715298,1.897364353,2.42936832,9,,,
Great Upper Nile,Unity,Mayendit,illness,Illness in household,1.8,0.126190565,1.554646691,2.049313705,10,,,
Great Upper Nile,Unity,Mayendit,livestocktheft,Livestock theft,1.8,0.128133889,1.547537446,2.04982229,11,,,
Great Upper Nile,Unity,Mayendit,cropdisease,Crop disease,1.2,0.111640112,0.946201882,1.383831121,12,,,
Great Upper Nile,Unity,Mayendit,pest,Crop pests,1.0,0.107774268,0.838267384,1.260742517,13,,,
Great Upper Nile,Unity,Mayendit,aginput,No crop inputs,1.0,0.102355445,0.759779366,1.161012713,14,,,
Great Upper Nile,Unity,Mayendit,death,Death in household,0.9,0.098156318,0.668999755,1.053772523,15,,,
Great Upper Nile,Unity,Mayendit,croptheft,Crop theft,0.5,0.07846103,0.374269187,0.681836423,16,,,
Great Upper Nile,Unity,Paynijar,flood,Floods,7.3,0.07063254,7.199747923,7.476627482,1,,,
Great Upper Nile,Unity,Paynijar,foodpriceinc,Increase in food prices,6.8,0.088956486,6.595871824,6.94458125,2,,,
Great Upper Nile,Unity,Paynijar,erosion,Erosion,6.0,0.123125243,5.786182615,6.268833566,3,,,
Great Upper Nile,Unity,Paynijar,lossland,Loss of land,5.9,0.127559342,5.631860712,6.131893333,4,,,
Great Upper Nile,Unity,Paynijar,livestockdisease,Livestock disease,2.9,0.149049656,2.65122837,3.235503021,5,,,
Great Upper Nile,Unity,Paynijar,theft,Theft,2.4,0.137843719,2.106848964,2.647196343,6,,,
Great Upper Nile,Unity,Paynijar,illness,Illness in household,2.2,0.131118832,1.9339456,2.447931423,7,,,
Great Upper Nile,Unity,Paynijar,nosell,Unable to sell,1.9,0.130128174,1.685078229,2.195180671,8,,,
Great Upper Nile,Unity,Paynijar,livestockinput,No livestock inputs,1.9,0.130572753,1.645371903,2.157217094,9,,,
Great Upper Nile,Unity,Paynijar,livestocktheft,Livestock theft,1.4,0.116678561,1.177458888,1.634838847,10,,,
Great Upper Nile,Unity,Paynijar,death,Death in household,1.2,0.112047024,0.981035082,1.420259416,11,,,
Great Upper Nile,Unity,Paynijar,aginput,No crop inputs,0.9,0.093093864,0.74310237,1.108030316,12,,,
Great Upper Nile,Unity,Paynijar,cropdisease,Crop disease,0.7,0.083384311,0.530741507,0.857608008,13,,,
Great Upper Nile,Unity,Paynijar,pest,Crop pests,0.6,0.078970756,0.487612139,0.797177505,14,,,
Great Upper Nile,Unity,Paynijar,littlerain,Drought,0.6,0.074733054,0.442519979,0.735473549,15,,,
Great Upper Nile,Unity,Paynijar,croptheft,Crop theft,0.6,0.077051356,0.415322385,0.717363699,16,,,
Great Upper Nile,Jonglei,Pibor,flood,Floods,5.6,0.090367962,5.406212128,5.760454539,1,,,
Great Upper Nile,Jonglei,Pibor,foodpriceinc,Increase in food prices,5.4,0.09980713,5.221044692,5.612288641,2,,,
Great Upper Nile,Jonglei,Pibor,livestockdisease,Livestock disease,4.6,0.125873572,4.386266522,4.879690925,3,,,
Great Upper Nile,Jonglei,Pibor,livestocktheft,Livestock theft,4.5,0.127315751,4.243368928,4.742446674,4,,,
Great Upper Nile,Jonglei,Pibor,littlerain,Drought,4.3,0.124245473,4.013571072,4.500613325,5,,,
Great Upper Nile,Jonglei,Pibor,livestockinput,No livestock inputs,4.1,0.130712073,3.844868167,4.357259493,6,,,
Great Upper Nile,Jonglei,Pibor,nosell,Unable to sell,4.0,0.125484482,3.761142615,4.253041782,7,,,
Great Upper Nile,Jonglei,Pibor,aginput,No crop inputs,3.9,0.13199215,3.668600351,4.186009578,8,,,
Great Upper Nile,Jonglei,Pibor,cropdisease,Crop disease,3.9,0.131868224,3.64402055,4.160943989,9,,,
Great Upper Nile,Jonglei,Pibor,pest,Crop pests,3.7,0.130242285,3.45394498,3.964494736,10,,,
Great Upper Nile,Jonglei,Pibor,theft,Theft,3.5,0.132730243,3.280628865,3.800931419,11,,,
Great Upper Nile,Jonglei,Pibor,illness,Illness in household,3.3,0.12794765,3.066598493,3.56815328,12,,,
Great Upper Nile,Jonglei,Pibor,croptheft,Crop theft,2.7,0.133170922,2.395013362,2.917043376,13,,,
Great Upper Nile,Jonglei,Pibor,death,Death in household,2.1,0.129647223,1.838090024,2.346307139,14,,,
Great Upper Nile,Jonglei,Pibor,erosion,Erosion,2.0,0.129276187,1.723569028,2.230331681,15,,,
Great Upper Nile,Jonglei,Pibor,lossland,Loss of land,1.9,0.126898766,1.627164943,2.124608107,16,,,
Great Upper Nile,Upper Nile,Ulang,flood,Floods,7.0,0.083102794,6.877054626,7.202817578,1,,,
Great Upper Nile,Upper Nile,Ulang,foodpriceinc,Increase in food prices,6.7,0.090529512,6.482306566,6.837182252,2,,,
Great Upper Nile,Upper Nile,Ulang,erosion,Erosion,6.1,0.115455391,5.859969415,6.312554546,3,,,
Great Upper Nile,Upper Nile,Ulang,lossland,Loss of land,6.0,0.116267823,5.770517622,6.22628749,4,,,
Great Upper Nile,Upper Nile,Ulang,littlerain,Drought,5.8,0.124326018,5.518301835,6.005659827,5,,,
Great Upper Nile,Upper Nile,Ulang,livestockdisease,Livestock disease,4.8,0.139836704,4.478316225,5.026476107,6,,,
Great Upper Nile,Upper Nile,Ulang,livestockinput,No livestock inputs,4.5,0.142173845,4.218144376,4.775465848,7,,,
Great Upper Nile,Upper Nile,Ulang,nosell,Unable to sell,4.3,0.144676672,4.00077877,4.567911326,8,,,
Great Upper Nile,Upper Nile,Ulang,theft,Theft,3.4,0.148291732,3.07835779,3.659661379,9,,,
Great Upper Nile,Upper Nile,Ulang,cropdisease,Crop disease,3.3,0.14142983,3.024714467,3.579119399,10,,,
Great Upper Nile,Upper Nile,Ulang,pest,Crop pests,3.3,0.140701207,2.987803909,3.53935264,11,,,
Great Upper Nile,Upper Nile,Ulang,illness,Illness in household,3.2,0.145983849,2.913552167,3.485808855,12,,,
Great Upper Nile,Upper Nile,Ulang,livestocktheft,Livestock theft,3.2,0.14702363,2.893942311,3.470274942,13,,,
Great Upper Nile,Upper Nile,Ulang,aginput,No crop inputs,3.2,0.139586591,2.879764913,3.426944352,14,,,
Great Upper Nile,Upper Nile,Ulang,death,Death in household,2.5,0.142261694,2.240336408,2.79800225,15,,,
Great Upper Nile,Upper Nile,Ulang,croptheft,Crop theft,1.7,0.124300844,1.465635522,1.952894829,16,,,
Great Upper Nile,Jonglei,Uror,flood,Floods,6.6,0.086454745,6.414964284,6.753866885,1,,,
Great Upper Nile,Jonglei,Uror,foodpriceinc,Increase in food prices,6.4,0.093814896,6.166772155,6.534526546,2,,,
Great Upper Nile,Jonglei,Uror,livestockdisease,Livestock disease,5.1,0.134577713,4.789799112,5.317343746,3,,,
Great Upper Nile,Jonglei,Uror,erosion,Erosion,4.9,0.131676134,4.639642051,5.155812495,4,,,
Great Upper Nile,Jonglei,Uror,nosell,Unable to sell,4.8,0.134630575,4.541318879,5.069070732,5,,,
Great Upper Nile,Jonglei,Uror,livestockinput,No livestock inputs,4.7,0.134413455,4.483302875,5.010203618,6,,,
Great Upper Nile,Jonglei,Uror,theft,Theft,4.4,0.143093974,4.086418928,4.647347306,7,,,
Great Upper Nile,Jonglei,Uror,livestocktheft,Livestock theft,4.2,0.144208113,3.871572877,4.436868681,8,,,
Great Upper Nile,Jonglei,Uror,lossland,Loss of land,4.1,0.139627623,3.861070119,4.408410401,9,,,
Great Upper Nile,Jonglei,Uror,illness,Illness in household,3.8,0.142977016,3.560674139,4.121144042,10,,,
Great Upper Nile,Jonglei,Uror,littlerain,Drought,2.5,0.138604502,2.234828683,2.77815833,11,,,
Great Upper Nile,Jonglei,Uror,aginput,No crop inputs,2.3,0.134363569,2.062946106,2.589651297,12,,,
Great Upper Nile,Jonglei,Uror,cropdisease,Crop disease,2.2,0.132703089,1.959057791,2.479253898,13,,,
Great Upper Nile,Jonglei,Uror,death,Death in household,2.0,0.134040257,1.785982394,2.311420203,14,,,
Great Upper Nile,Jonglei,Uror,pest,Crop pests,2.0,0.12842946,1.72392761,2.227371092,15,,,
Great Upper Nile,Jonglei,Uror,croptheft,Crop theft,1.6,0.119749445,1.359446931,1.828864757,16,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,foodpriceinc,Increase in food prices,3.0,0.132341789,2.734148058,3.252927871,1,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,theft,Theft,2.2,0.120934095,1.972985329,2.447046981,2,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,flood,Floods,1.7,0.105764685,1.539066322,1.953663888,3,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,littlerain,Drought,1.7,0.106925206,1.528714156,1.947860965,4,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,aginput,No crop inputs,1.2,0.094353819,1.000850037,1.370717006,5,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,cropdisease,Crop disease,1.1,0.091207276,0.898778165,1.256310688,6,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,erosion,Erosion,1.0,0.088497188,0.833007548,1.179916523,7.5,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,pest,Crop pests,1.0,0.088556245,0.832891795,1.180032276,7.5,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,lossland,Loss of land,0.9,0.086805715,0.766855951,1.107134356,9,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,croptheft,Crop theft,0.8,0.086692482,0.679840409,1.019674938,10,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,livestockinput,No livestock inputs,0.4,0.060353116,0.288816131,0.525400347,11,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,livestockdisease,Livestock disease,0.4,0.059197076,0.255540774,0.487593313,12,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,livestocktheft,Livestock theft,0.4,0.056183313,0.243677151,0.46391574,13,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,illness,Illness in household,0.4,0.05695523,0.238933178,0.462197678,14,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,nosell,Unable to sell,0.3,0.055439963,0.225748012,0.443072666,15,,,
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,death,Death in household,0.3,0.056759812,0.216699072,0.439197536,16,,,
